customer_id,customer_state,customer_city,cohort_month
e064aed1904b04eb4cb0bf73f722cdba,BA,salvador,2017-04
50654ed6e8ea55c5cd84fb212db918fb,GO,goiania,2017-11
55c1abfb2ee3bdfeaff8e8d9510cc0f1,PR,curitiba,2017-08
1fcfec3a4818f5ba9ffcf36fcba1cbc3,RN,interior,
83cfdfe0b6ee222c5df4d5adc2960ae5,SC,joinville,2018-01
b9ea53f80a4e7cd4e861b7bec70d5cf0,SP,campinas,2017-05
d6c069cea94adb31bd7cae4405ac19d4,RJ,nova iguacu,2017-09
6ba59f57d1383497a1c8ae0dcae68dcb,PA,interior,2017-08
f7ebeae4032ec4fa3da2cf206ef8f1fd,RS,caxias do sul,2017-09
5ad80c44b7df60e1faafeab24f6cab9a,RJ,niteroi,2017-02
7f5c21acf3be15c9ddb8d6c9c1f2ad51,SP,santos,2017-03
a109752fccefe50aaee3cda277ec7f6e,SP,santo andre,
ee3e6f9aaa34da31ac7b50fcced9a7a8,DF,brasilia,2017-11
ccc86fad01defa92dd9fd1b683bcb31d,SC,florianopolis,2018-06
eacdb5b445aae32d0b082e794bd8b53e,SP,santo andre,2017-10
e683e6a2d29eae9a392a8e089ec2fbf7,PE,recife,
05292197d94dfde6e0fc92f9d732dcf8,BA,feira de santana,2017-11
7eadffd7c4e42c8acbcfcde0ec53f670,RJ,niteroi,
f14eaa62a92b5ce78a9a1698e68f3eaf,SP,santos,2017-01
7f69adbd71a086ef1d8cea0dc4dbf9bc,PR,curitiba,2017-04
68bbecafbe97734ea431c2acd07a283c,SC,florianopolis,
6a6d39e49701b5f80eceb36cf3f9015c,SP,guarulhos,2017-02
50b7adaa70cb3bafdb1ba6040ebfb5a4,SP,santo andre,2017-10
6fe1e7bee3db01b88cdee8acb8e52aa8,SP,santos,2017-05
caf2d18fa99c261ab2ccca2bdcb63e4e,SP,santo andre,2017-03
6119a4d6facf28c7a55268d5d37c6aab,SP,santo andre,2018-02
8fc83d800fbb3d3e78dcdbbaca07296d,PR,londrina,2018-08
b63e77afefd45c4f664f67eb62e8fcfb,GO,goiania,2017-01
61ae5ac0e9ce0cb4ad606de79ebd2b6b,PR,londrina,2018-03
fee84faaf8feabcaedbbb7e2cd4b3c9e,GO,goiania,2017-01
8febe73bba4006ebbc576ef2b9ad0420,DF,brasilia,2017-09
f864b54c3a199b857198bc18d01bce44,SP,santos,2018-04
c9378caef5cfea3b3faebe10ceea9c5f,PR,curitiba,2018-03
eca28c103a9bcc2b04dda11edc0e6fca,SP,sao paulo,
a65158b3872e9a219cb21cdbd09bfcf5,SP,santo andre,2017-03
f6fac58b82cdceceaf96fcb9ad5efb1f,PR,curitiba,2017-02
7029f2e36a4aa9f76b2cee3f533cf584,PR,curitiba,2018-03
652838dc9abee3364cddea48ce9af93c,RJ,nova iguacu,2018-08
c7fd3344176b7f65cfe2fbefd2d5fcae,MG,uberlandia,2018-06
da1dc0e3af9fed6dd271ee1dfa92241d,SP,sao paulo,2017-01
c8f6361cddbfce6bba61dfa2adbffe2c,PR,curitiba,
1199d6aa2ff3ebbf32b5da0b51fc1a7a,MG,belo horizonte,
ddb61a86ba58ffbacb3e0bdf07a8a64f,SC,florianopolis,2017-01
3a8bf46523fcf0c7257be5f089a5ab30,MG,contagem,2017-01
deada189eb5fb08fab7c750d0b6ba7c5,MG,belo horizonte,2017-02
b0e42fec70cebccf8e82633ebfe3ffeb,SP,sao paulo,2018-03
7bf19939d78cbca49b00527d31ef7fdf,RJ,niteroi,2017-05
2b4d895a451ae17bfcccc9bdada1dfbd,RJ,nova iguacu,2017-02
cf22bbddd5eca38de88df1a587b6ccff,GO,goiania,2017-07
d208d3dc73daf683cfcee590ba0eed05,SP,santos,2017-12
8730a6d8acfb7ffeae763ec6aafceede,SP,guarulhos,
d06a3aaa1dd8f804807c4ed5f728c3c6,RS,caxias do sul,2018-07
25f4f092bdf9dbd6badbcf793cefa501,MG,belo horizonte,2017-08
